Αναγνωριστικό λογαριασμού,Όνομα λογαριασμού,Πραγματικό όνομα,Περιγραφή,Ημερομηνία δημιουργίας λογαριασμού,Τοποθεσία,Γλώσσα,Ζώνη ώρας,URL λογαριασμού,URL φωτογραφίας προφίλ,Αριθμός ακολούθων,Αριθμός ατόμων που ακολουθεί,Αριθμός tweets,Αριθμός αγαπημένων,Αριθμός λιστών στις οποίες είναι μέλος,Επαληθευμένος λογαριασμός;
70340615,AdonisGeorgiadi,Άδωνις Γεωργιάδης,ΑΝΤΙΠΡΟΕΔΡΟΣ κ' Τομεάρχης Αμύνης της ΝΕΑΣ ΔΗΜΟΚΡΑΤΙΑΣ FB: https://t.co/AW4o08qslp Youtube: https://t.co/kAXwGJEl7f,2009-08-31 07:48:35,Greece,en,Athens,https://t.co/q0eIPdaZur,http://pbs.twimg.com/profile_images/796723682265747457/ZWGAKgFo_normal.jpg,157296,3585,85158,3406,892,True
74543190,PanosKammenos,Panos Kammenos,ΑΝΕΞΑΡΤΗΤΟΙ ΕΛΛΗΝΕΣ,2009-09-15 20:14:52,Αθήνα,en,Athens,http://t.co/K64LYvK0hB,http://pbs.twimg.com/profile_images/1830820187/VALtwitter_normal.jpg,72390,415,11468,3791,733,False
767266068,rachelmakri,Rachel Makri,Former Member of the Hellenic Parliament - Official account / Πρώην Βουλευτής της Βουλής των Ελλήνων - Επίσημος λογαριασμός,2012-08-19 09:32:37,Ελλάδα,el,Baghdad,https://t.co/UFqRIYvWR5,http://pbs.twimg.com/profile_images/666773041414840323/ulhE8WWC_normal.jpg,24203,223,9188,51,255,False
